point_id,section,s,w_measured
ML01,strike,-680,0.022054081
ML02,strike,-660,0.028702207
ML03,strike,-640,0.036966809
ML04,strike,-620,0.047120820
ML05,strike,-600,0.059450336
ML06,strike,-580,0.074246410
ML07,strike,-560,0.091794850
ML08,strike,-540,0.112364227
ML09,strike,-520,0.136192529
ML10,strike,-500,0.163473048
ML11,strike,-480,0.194340249
ML12,strike,-460,0.228856489
ML13,strike,-440,0.267000502
ML14,strike,-420,0.308658565
ML15,strike,-400,0.353619140
ML16,strike,-380,0.401571619
ML17,strike,-360,0.452109551
ML18,strike,-340,0.504738416
ML19,strike,-320,0.558887671
ML20,strike,-300,0.613926484
ML21,strike,-280,0.669182250
ML22,strike,-260,0.723960770
ML23,strike,-240,0.777566845
ML24,strike,-220,0.829323985
ML25,strike,-200,0.878592063
ML26,strike,-180,0.924781902
ML27,strike,-160,0.967366102
ML28,strike,-140,1.005885741
ML29,strike,-120,1.039952995
ML30,strike,-100,1.069250043
ML31,strike,-80,1.093524988
ML32,strike,-60,1.112585726
ML33,strike,-40,1.126292870
ML34,strike,-20,1.134552809
ML35,strike,0,1.137311930
ML36,strike,20,1.134552809
ML37,strike,40,1.126292870
ML38,strike,60,1.112585726
ML39,strike,80,1.093524988
ML40,strike,100,1.069250043
ML41,strike,120,1.039952995
ML42,strike,140,1.005885741
ML43,strike,160,0.967366102
ML44,strike,180,0.924781902
ML45,strike,200,0.878592063
ML46,strike,220,0.829323985
ML47,strike,240,0.777566845
ML48,strike,260,0.723960770
ML49,strike,280,0.669182250
ML50,strike,300,0.613926484
ML51,strike,320,0.558887671
ML52,strike,340,0.504738416
ML53,strike,360,0.452109551
ML54,strike,380,0.401571619
ML55,strike,400,0.353619140
ML56,strike,420,0.308658565
ML57,strike,440,0.267000502
ML58,strike,460,0.228856489
ML59,strike,480,0.194340249
ML60,strike,500,0.163473048
ML61,strike,520,0.136192529
ML62,strike,540,0.112364227
ML63,strike,560,0.091794850
ML64,strike,580,0.074246410
ML65,strike,600,0.059450336
ML66,strike,620,0.047120820
ML67,strike,640,0.036966809
ML68,strike,660,0.028702207
ML69,strike,680,0.022054081
