point_id,section,s,w_measured
ML01,strike,-680,0.021672194
ML02,strike,-660,0.028082912
ML03,strike,-640,0.035902645
ML04,strike,-620,0.045616140
ML05,strike,-600,0.057009586
ML06,strike,-580,0.070736127
ML07,strike,-560,0.087057190
ML08,strike,-540,0.106215281
ML09,strike,-520,0.128132599
ML10,strike,-500,0.152658650
ML11,strike,-480,0.182032950
ML12,strike,-460,0.215111420
ML13,strike,-440,0.251049137
ML14,strike,-420,0.290092366
ML15,strike,-400,0.333551310
ML16,strike,-380,0.382322022
ML17,strike,-360,0.434368937
ML18,strike,-340,0.487586342
ML19,strike,-320,0.543046148
ML20,strike,-300,0.601871136
ML21,strike,-280,0.659888743
ML22,strike,-260,0.727666370
ML23,strike,-240,0.772816692
ML24,strike,-220,0.836236173
ML25,strike,-200,0.891787094
ML26,strike,-180,0.944032315
ML27,strike,-160,0.995847851
ML28,strike,-140,1.042194134
ML29,strike,-120,1.085500442
ML30,strike,-100,1.123641930
ML31,strike,-80,1.154188858
ML32,strike,-60,1.178089966
ML33,strike,-40,1.195913018
ML34,strike,-20,1.204838865
ML35,strike,0,1.228290805
ML36,strike,20,1.203323259
ML37,strike,40,1.195278430
ML38,strike,60,1.178513808
ML39,strike,80,1.153542647
ML40,strike,100,1.122806308
ML41,strike,120,1.085405156
ML42,strike,140,1.040204829
ML43,strike,160,0.998929248
ML44,strike,180,0.948023591
ML45,strike,200,0.893857287
ML46,strike,220,0.836990201
ML47,strike,240,0.773575824
ML48,strike,260,0.718496750
ML49,strike,280,0.659845071
ML50,strike,300,0.601050093
ML51,strike,320,0.542816974
ML52,strike,340,0.488602160
ML53,strike,360,0.433288357
ML54,strike,380,0.382291675
ML55,strike,400,0.334692118
ML56,strike,420,0.291142903
ML57,strike,440,0.250281450
ML58,strike,460,0.215109196
ML59,strike,480,0.181583390
ML60,strike,500,0.153658700
ML61,strike,520,0.128032924
ML62,strike,540,0.105952474
ML63,strike,560,0.086931361
ML64,strike,580,0.070673432
ML65,strike,600,0.056972730
ML66,strike,620,0.045519002
ML67,strike,640,0.035882252
ML68,strike,660,0.028101878
ML69,strike,680,0.021779282
